iter	Passed	Remaining
0	0	147
1	1	121
2	1	111
3	2	109
4	2	108
5	3	114
6	4	113
7	4	111
8	5	110
9	5	109
10	6	107
11	6	105
12	7	103
13	7	101
14	8	99
15	8	98
16	9	97
17	9	95
18	10	96
19	11	103
20	12	102
21	12	102
22	13	103
23	14	104
24	14	103
25	15	101
26	15	100
27	16	100
28	16	99
29	17	97
30	17	96
31	18	95
32	19	98
33	20	97
34	20	96
35	21	95
36	21	94
37	21	93
38	22	92
39	22	91
40	23	90
41	23	90
42	24	89
43	24	88
44	25	88
45	26	87
46	26	86
47	27	85
48	27	84
49	28	84
50	28	84
51	29	83
52	29	82
53	30	81
54	30	80
55	31	79
56	31	79
57	32	78
58	32	77
59	32	76
60	33	76
61	34	76
62	35	76
63	35	75
64	36	75
65	36	74
66	37	73
67	37	73
68	38	72
69	38	71
70	39	71
71	39	70
72	40	69
73	40	69
74	40	68
75	41	67
76	41	66
77	42	66
78	42	65
79	43	64
80	43	64
81	44	64
82	45	63
83	45	62
84	46	62
85	46	61
86	47	61
87	47	60
88	48	59
89	48	59
90	48	58
91	49	57
92	49	57
93	50	56
94	50	56
95	51	55
96	51	54
97	52	54
98	52	53
99	53	53
100	53	52
101	54	52
102	54	51
103	55	51
104	55	50
105	56	49
106	56	49
107	57	48
108	57	48
109	58	47
110	58	47
111	59	46
112	59	45
113	60	45
114	60	44
115	61	44
116	61	43
117	62	43
118	62	42
119	62	41
120	63	41
121	63	40
122	64	40
123	64	39
124	65	39
125	65	38
126	66	38
127	66	37
128	67	36
129	67	36
130	68	35
131	68	35
132	69	34
133	69	34
134	69	33
135	70	33
136	70	32
137	71	32
138	71	31
139	72	30
140	72	30
141	73	29
142	73	29
143	74	28
144	75	28
145	75	27
146	76	27
147	76	26
148	77	26
149	77	25
150	78	25
151	78	24
152	78	24
153	79	23
154	79	23
155	80	22
156	80	22
157	81	21
158	81	21
159	82	20
160	82	20
161	83	19
162	83	19
163	84	18
164	84	18
165	85	17
166	85	16
167	86	16
168	86	15
169	87	15
170	87	14
171	88	14
172	88	13
173	89	13
174	89	12
175	90	12
176	90	11
177	91	11
178	91	10
179	92	10
180	92	9
181	93	9
182	94	8
183	94	8
184	95	7
185	95	7
186	96	6
187	96	6
188	97	5
189	97	5
190	98	4
191	98	4
192	99	3
193	99	3
194	99	2
195	100	2
196	100	1
197	101	1
198	102	0
199	103	0
